@relation ERing_channel_1

@attribute channel_1_0 numeric
@attribute channel_1_1 numeric
@attribute channel_1_2 numeric
@attribute channel_1_3 numeric
@attribute channel_1_4 numeric
@attribute channel_1_5 numeric
@attribute channel_1_6 numeric
@attribute channel_1_7 numeric
@attribute channel_1_8 numeric
@attribute channel_1_9 numeric
@attribute channel_1_10 numeric
@attribute channel_1_11 numeric
@attribute channel_1_12 numeric
@attribute channel_1_13 numeric
@attribute channel_1_14 numeric
@attribute channel_1_15 numeric
@attribute channel_1_16 numeric
@attribute channel_1_17 numeric
@attribute channel_1_18 numeric
@attribute channel_1_19 numeric
@attribute channel_1_20 numeric
@attribute channel_1_21 numeric
@attribute channel_1_22 numeric
@attribute channel_1_23 numeric
@attribute channel_1_24 numeric
@attribute channel_1_25 numeric
@attribute channel_1_26 numeric
@attribute channel_1_27 numeric
@attribute channel_1_28 numeric
@attribute channel_1_29 numeric
@attribute channel_1_30 numeric
@attribute channel_1_31 numeric
@attribute channel_1_32 numeric
@attribute channel_1_33 numeric
@attribute channel_1_34 numeric
@attribute channel_1_35 numeric
@attribute channel_1_36 numeric
@attribute channel_1_37 numeric
@attribute channel_1_38 numeric
@attribute channel_1_39 numeric
@attribute channel_1_40 numeric
@attribute channel_1_41 numeric
@attribute channel_1_42 numeric
@attribute channel_1_43 numeric
@attribute channel_1_44 numeric
@attribute channel_1_45 numeric
@attribute channel_1_46 numeric
@attribute channel_1_47 numeric
@attribute channel_1_48 numeric
@attribute channel_1_49 numeric
@attribute channel_1_50 numeric
@attribute channel_1_51 numeric
@attribute channel_1_52 numeric
@attribute channel_1_53 numeric
@attribute channel_1_54 numeric
@attribute channel_1_55 numeric
@attribute channel_1_56 numeric
@attribute channel_1_57 numeric
@attribute channel_1_58 numeric
@attribute channel_1_59 numeric
@attribute channel_1_60 numeric
@attribute channel_1_61 numeric
@attribute channel_1_62 numeric
@attribute channel_1_63 numeric
@attribute channel_1_64 numeric
@attribute target {1,2,3,4,5,6}

@data
2.372423,2.372423,0.990821,-0.554978,-0.554978,-0.554978,-0.554978,-0.554978,-0.554978,-0.259015,0.363785,0.443,0.443,0.443,0.443,0.443,0.097034,-0.567286,-0.62151,-0.62151,-0.62151,-0.62151,-0.62151,-0.678811,-1.748266,-1.752551,-1.752551,-1.752551,-1.752551,-1.752551,-1.752551,-1.232771,-0.954169,-0.954169,-0.954169,-0.954169,-0.954169,-0.791935,0.329106,0.842191,0.842191,0.842191,0.842191,0.842191,0.842191,0.898452,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.975254,0.410087,-0.155787,-0.155787,-0.155787,-0.155787,-0.155787,3
-0.854276,-0.854276,-0.854276,-0.63454,-0.041593,0.551353,0.704827,0.704827,0.704827,0.704827,0.704827,0.704827,0.704827,0.704827,0.704827,0.619175,-0.109768,-0.838712,-1.211868,-1.211868,-1.211868,-1.211868,-1.211868,-1.211868,-1.211868,-1.211868,-1.211868,-1.135075,-1.026278,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.925794,-0.470155,0.536222,1.542599,1.72039,1.72039,1.72039,1.72039,1.72039,1.72039,1.72039,1.72039,1.695358,1.086092,0.476826,0.118376,0.118376,0.118376,0.118376,0.118376,0.118376,0.118376,0.118376,0.118376,0.118376,-0.203122,-0.611113,2
-0.545731,-0.544707,-0.543683,-0.543257,-0.543257,-0.543257,-0.543257,-0.543257,-0.543257,-0.543257,-0.543257,-0.543554,-0.543966,-0.544234,-0.544234,-0.544234,-0.544234,-0.544234,-0.544234,-0.544234,-0.544234,-0.544234,-0.543728,-0.542931,-0.542346,-0.542346,-0.542346,-0.542346,-0.542346,-0.542346,-0.542346,-0.542346,-0.404288,-0.061427,0.281435,0.624296,0.967157,1.310019,1.65288,1.995742,2.170091,2.170091,2.170091,2.170091,2.170091,2.170091,2.170091,2.170091,1.504507,0.357564,-0.546577,-0.546577,-0.546577,-0.546577,-0.546577,-0.546577,-0.546577,-0.546577,-0.546577,-0.546517,-0.546407,-0.546316,-0.546316,-0.546316,-0.546316,4
-0.325134,-0.325134,-0.325134,-0.325134,-0.325134,-0.325134,-1.028989,-1.389789,-1.389789,-1.389789,-1.389789,-1.389789,-1.348267,-1.283323,-1.283323,-1.283323,-1.283323,-1.283323,-1.283323,-0.798905,-0.176082,-0.176082,-0.176082,-0.176082,-0.176082,0.01859,1.006643,1.293141,1.293141,1.293141,1.293141,1.293141,1.329644,1.504986,1.548659,1.548659,1.548659,1.548659,1.548659,1.394017,0.892831,0.8034,0.8034,0.8034,0.8034,0.8034,0.693208,0.611762,0.611762,0.611762,0.611762,0.611762,0.611762,-0.342594,-0.921341,-0.921341,-0.921341,-0.921341,-0.921341,-0.760009,-0.474186,-0.474186,-0.474186,-0.474186,-0.474186,3
-0.548673,-0.548673,-0.548673,-0.548673,-0.548673,-0.548673,-0.548673,-0.548673,-0.535011,-0.521101,-0.507191,-0.506957,-0.506957,-0.506957,-0.506957,-0.506957,-0.506957,-0.506957,-0.506957,-0.506957,-0.505475,-0.449018,-0.392561,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.337638,-0.302284,0.840817,1.983919,1.993561,1.993561,1.993561,1.993561,1.993561,1.993561,1.993561,1.993561,1.993561,1.993561,1.980151,1.085836,0.191521,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.688545,-0.715521,-0.742522,-0.769523,4
1.704702,1.704702,1.704702,1.704702,1.386746,1.052892,0.719038,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.707591,0.721674,0.74139,0.761107,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.765275,0.523208,0.014867,-0.493474,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.783954,-0.82182,-0.973572,-1.125324,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.237187,-1.241822,-1.339164,-1.436506,-1.533848,6
2.07625,2.07625,2.07625,1.106462,-0.012525,-0.310921,-0.310921,-0.310921,-0.310921,-0.310921,-0.310921,-0.310921,-0.56867,-1.061814,-1.320878,-1.320878,-1.320878,-1.320878,-1.320878,-1.320878,-1.320878,-0.747268,0.716022,1.800807,1.800807,1.800807,1.800807,1.800807,1.800807,1.800807,1.800807,1.315913,0.239965,0.239965,0.239965,0.239965,0.239965,0.239965,0.239965,0.239965,0.173858,-0.170445,-0.49455,-0.49455,-0.49455,-0.49455,-0.49455,-0.49455,-0.49455,-0.49455,-0.534718,-0.577756,-0.586364,-0.586364,-0.586364,-0.586364,-0.586364,-0.586364,-0.586364,-0.586364,-0.500977,-0.414901,-0.402735,-0.402735,-0.402735,3
-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.857288,-0.87254,-0.936092,-0.999644,-1.026759,-1.026759,-1.026759,-1.026759,-1.026759,-1.026759,-1.026759,-1.026759,-1.026759,-0.524397,0.229146,0.982689,0.982689,0.982689,0.982689,0.982689,0.982689,0.982689,0.982689,0.982689,0.982689,1.031169,1.233173,1.435177,1.521366,1.521366,1.521366,1.521366,1.521366,1.521366,1.521366,1.521366,1.521366,1.521366,0.938021,0.220793,-0.391241,-0.391241,-0.391241,-0.391241,-0.391241,-0.391241,-0.391241,-0.391241,-0.391241,-0.43876,-0.636756,-0.834752,-0.88755,-0.88755,-0.88755,-0.88755,4
0.163268,0.163268,0.014683,-1.075578,-1.259087,-1.259087,-1.259087,-1.259087,-1.259087,-1.259087,-1.260253,-1.371504,-1.462281,-1.462281,-1.462281,-1.462281,-1.462281,-1.462281,-1.462281,-0.995107,-0.588548,-0.588548,-0.588548,-0.588548,-0.588548,-0.588548,-0.588548,-0.292525,0.786611,1.382429,1.382429,1.382429,1.382429,1.382429,1.382429,1.302174,0.942388,0.71189,0.71189,0.71189,0.71189,0.71189,0.71189,0.71189,0.864794,1.170066,1.280832,1.280832,1.280832,1.280832,1.280832,1.280832,0.972003,0.285139,0.000713,0.000713,0.000713,0.000713,0.000713,0.000713,0.000713,-0.119452,-0.202481,-0.202481,-0.202481,3
-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732583,-0.732703,-0.732849,-0.732995,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.733028,-0.63286,-0.47105,-0.309239,-0.147429,0.014381,0.176192,0.338002,0.499812,0.661623,0.823433,0.985243,1.147054,1.308864,1.470675,1.632485,1.732653,1.732653,1.732653,1.732653,1.732653,1.732653,1.732653,1.732653,1.732653,1.732653,1.569363,0.760613,-0.048136,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,-0.732107,4
