@relation ERing_channel_3

@attribute channel_3_0 numeric
@attribute channel_3_1 numeric
@attribute channel_3_2 numeric
@attribute channel_3_3 numeric
@attribute channel_3_4 numeric
@attribute channel_3_5 numeric
@attribute channel_3_6 numeric
@attribute channel_3_7 numeric
@attribute channel_3_8 numeric
@attribute channel_3_9 numeric
@attribute channel_3_10 numeric
@attribute channel_3_11 numeric
@attribute channel_3_12 numeric
@attribute channel_3_13 numeric
@attribute channel_3_14 numeric
@attribute channel_3_15 numeric
@attribute channel_3_16 numeric
@attribute channel_3_17 numeric
@attribute channel_3_18 numeric
@attribute channel_3_19 numeric
@attribute channel_3_20 numeric
@attribute channel_3_21 numeric
@attribute channel_3_22 numeric
@attribute channel_3_23 numeric
@attribute channel_3_24 numeric
@attribute channel_3_25 numeric
@attribute channel_3_26 numeric
@attribute channel_3_27 numeric
@attribute channel_3_28 numeric
@attribute channel_3_29 numeric
@attribute channel_3_30 numeric
@attribute channel_3_31 numeric
@attribute channel_3_32 numeric
@attribute channel_3_33 numeric
@attribute channel_3_34 numeric
@attribute channel_3_35 numeric
@attribute channel_3_36 numeric
@attribute channel_3_37 numeric
@attribute channel_3_38 numeric
@attribute channel_3_39 numeric
@attribute channel_3_40 numeric
@attribute channel_3_41 numeric
@attribute channel_3_42 numeric
@attribute channel_3_43 numeric
@attribute channel_3_44 numeric
@attribute channel_3_45 numeric
@attribute channel_3_46 numeric
@attribute channel_3_47 numeric
@attribute channel_3_48 numeric
@attribute channel_3_49 numeric
@attribute channel_3_50 numeric
@attribute channel_3_51 numeric
@attribute channel_3_52 numeric
@attribute channel_3_53 numeric
@attribute channel_3_54 numeric
@attribute channel_3_55 numeric
@attribute channel_3_56 numeric
@attribute channel_3_57 numeric
@attribute channel_3_58 numeric
@attribute channel_3_59 numeric
@attribute channel_3_60 numeric
@attribute channel_3_61 numeric
@attribute channel_3_62 numeric
@attribute channel_3_63 numeric
@attribute channel_3_64 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.839886,-0.839886,-0.839886,-0.839886,-0.839886,-0.839886,-0.747874,-0.612566,-0.610059,-0.610059,-0.610059,-0.610059,-0.610059,-0.57763,-0.543027,-0.543027,-0.543027,-0.543027,-0.543027,-0.543027,-0.406866,-0.2303,-0.169558,-0.169558,-0.169558,-0.169558,-0.169558,0.924404,2.213278,2.597939,2.597939,2.597939,2.597939,2.597939,2.207335,1.089806,0.807206,0.807206,0.807206,0.807206,0.807206,0.525273,-0.134773,-0.610059,-0.610059,-0.610059,-0.610059,-0.610059,-0.477244,-0.196279,-0.006764,-0.006764,-0.006764,-0.006764,-0.006764,-0.008562,-0.335034,-0.571755,-0.571755,-0.571755,-0.571755,-0.571755,-0.591675,-0.726983,-0.801582,3
-0.475661,-0.475661,-0.475661,-0.475661,-0.475661,-0.475661,-0.475661,-0.475661,-0.475661,-0.356088,0.193044,0.742177,1.291309,1.430284,1.430284,1.430284,1.430284,1.430284,1.430284,1.430284,1.430284,1.430284,0.466835,-0.531903,-1.195814,-1.195814,-1.195814,-1.195814,-1.195814,-1.195814,-1.195814,-1.195814,-1.195814,-1.187519,-1.17252,-1.157521,-1.143754,-1.143754,-1.143754,-1.143754,-1.143754,-1.143754,-1.143754,-1.143754,-1.028669,-0.435198,0.158272,0.751743,0.947291,0.947291,0.947291,0.947291,0.947291,0.947291,0.947291,0.947291,0.947291,0.867315,0.749338,0.631362,0.562631,0.562631,0.562631,0.562631,0.562631,2
-0.452152,-0.452152,-0.452152,-0.452152,-0.452152,-0.452152,-0.451495,-0.449685,-0.447875,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.446578,-0.314239,0.631741,1.577721,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.794085,1.464554,0.4268,-0.610954,-0.663956,-0.663956,-0.663956,-0.663956,-0.663956,-0.663956,-0.663956,-0.668739,-0.724935,-0.78113,-0.837326,-0.842317,-0.842317,-0.842317,-0.842317,-0.842317,-0.842317,-0.842317,-0.842317,4
-1.036571,-1.036571,-1.036533,-1.031375,-1.026295,-1.026295,-1.026295,-1.026295,-1.026295,-1.021237,-0.956448,-0.933808,-0.933808,-0.933808,-0.933808,-0.933808,-0.74779,-0.567973,-0.567973,-0.567973,-0.567973,-0.567973,-0.537036,-0.402807,-0.360393,-0.360393,-0.360393,-0.360393,-0.360393,0.213286,1.221911,2.009314,2.009314,2.009314,2.009314,2.009314,1.717888,1.333607,1.255036,1.255036,1.255036,1.255036,1.255036,0.975426,0.638138,0.582968,0.582968,0.582968,0.582968,0.579823,0.571447,0.566526,0.566526,0.566526,0.566526,0.566526,0.150338,-0.782619,-0.820769,-0.820769,-0.820769,-0.820769,-0.820769,-0.858184,-0.894758,3
-0.178164,-0.168929,-0.159695,-0.15046,-0.141226,-0.141053,-0.141053,-0.141053,-0.141053,-0.141053,-0.141053,-0.141053,-0.141053,-0.141053,-0.158532,-0.176294,-0.194056,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,-0.211368,0.318915,0.85523,1.391545,1.911775,1.911775,1.911775,1.911775,1.911775,1.911775,1.911775,1.911775,1.911775,1.891895,1.28582,0.679746,0.073672,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.523883,-0.860294,-1.197655,-1.535015,-1.535647,-1.535647,-1.535647,-1.535647,-1.535647,-1.535647,4
0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.60812,0.640984,0.679844,0.718704,0.757564,0.796423,0.807082,0.807082,0.807082,0.807082,0.807082,0.807082,0.807082,0.807082,0.807082,0.802775,0.795386,0.787997,0.780607,0.773218,0.7697,0.7697,0.7697,0.7697,0.7697,0.7697,0.7697,0.7697,0.7697,0.7697,0.532077,-0.15716,-0.846396,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.330831,-1.337793,-1.376678,-1.415563,-1.454448,-1.48963,-1.48963,-1.48963,-1.48963,-1.48963,-1.48963,-1.48963,6
-1.015462,-1.015462,-1.015462,-1.015462,-1.015462,-1.015462,-1.015462,-1.015462,-0.915976,-0.807524,-0.705434,-0.705434,-0.705434,-0.705434,-0.705434,-0.705434,-0.705434,-0.562102,-0.344492,-0.126882,-0.111214,-0.111214,-0.111214,-0.111214,-0.111214,-0.111214,-0.111214,0.66736,1.752733,2.343176,2.343176,2.343176,2.343176,2.343176,2.343176,2.343176,1.773822,0.532498,-0.304981,-0.304981,-0.304981,-0.304981,-0.304981,-0.304981,-0.304981,-0.286296,-0.026786,0.232724,0.392582,0.392582,0.392582,0.392582,0.392582,0.392582,0.392582,0.050199,-0.297751,-0.602091,-0.602091,-0.602091,-0.602091,-0.602091,-0.602091,-0.602091,-0.602091,3
-0.9258,-0.9258,-0.9258,-0.9258,-0.9258,-0.815631,-0.705462,-0.595293,-0.585011,-0.585011,-0.585011,-0.585011,-0.585011,-0.585011,-0.585011,-0.585011,-0.565203,-0.379505,-0.193807,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,-0.079912,0.293503,0.889377,1.485252,1.636206,1.636206,1.636206,1.636206,1.636206,1.636206,1.636206,1.636206,1.636206,1.373938,1.11167,0.849402,0.699035,0.699035,0.699035,0.699035,0.699035,0.699035,0.699035,0.699035,0.699035,0.356316,-0.241451,-0.839218,-1.436984,-1.436984,-1.436984,-1.436984,-1.436984,-1.436984,-1.436984,-1.436984,-1.436984,4
-1.072345,-1.072345,-1.072345,-1.072345,-1.072345,-1.072345,-1.028963,-0.922854,-0.816745,-0.807352,-0.807352,-0.807352,-0.807352,-0.807352,-0.807352,-0.773613,-0.72448,-0.686477,-0.686477,-0.686477,-0.686477,-0.686477,-0.686477,0.006404,1.096851,2.158719,2.158719,2.158719,2.158719,2.158719,2.158719,2.158719,1.277731,0.396743,0.396743,0.396743,0.396743,0.396743,0.396743,0.396743,0.321777,0.197053,0.094557,0.094557,0.094557,0.094557,0.094557,0.094557,0.13801,0.383435,0.628861,0.661736,0.661736,0.661736,0.661736,0.661736,0.661736,0.006576,-0.719641,-1.016557,-1.016557,-1.016557,-1.016557,-1.016557,-1.016557,3
-1.349256,-1.349256,-1.349256,-1.349256,-1.346463,-1.27315,-1.199838,-1.126525,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-1.116889,-0.766023,-0.257169,0.251684,0.760538,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.930156,0.906002,0.824717,0.743432,0.662147,0.598202,0.598202,0.598202,0.598202,0.598202,0.598202,0.598202,0.598202,0.598202,0.559626,0.012265,-0.535096,-1.082457,-1.603754,-1.603754,-1.603754,-1.603754,4
